No.,Golongan Ruang,Teknis Laki-Laki,Teknis Perempuan,Jumlah,%,Guru Laki-Laki,Guru Perempuan,Jumlah,%,
1,I/a,4,-,4,0.1,-,-, - ,0,
2,I/b,38,-,38,0.95,-,-, - ,0,
3,I/c,12,1,13,0.33,-,1,1,0.03,
4,I/d,18,1,19,0.48,-,1,1,0.03,
5,II/a,53,11,64,1.61,8,18,26,0.65,
6,II/b,93,52,145,3.64,13,53,66,1.66,
7,II/c,90,156,246,6.17,7,18,25,0.63,
8,II/d,92,137,229,5.75,12,22,34,0.85,
9,III/a,160,186,346,8.68,146,276,422,10.59,
10,III/b,199,190,389,9.76,64,90,154,3.86,
11,III/c,151,143,294,7.38,47,72,119,2.99,
12,III/d,189,172,361,9.06,83,94,177,4.44,
13,IV/a,75,43,118,2.96,221,212,433,10.87,
14,IV/b,48,20,68,1.71,48,126,174,4.37,
15,IV/c,11,8,19,0.48,-,-, - ,0,
16,IV/d,-,-, - ,0,-,-, - ,0,
17,IV/e,-,-, - ,0,-,-, - ,0,
,TOTAL,"1,233","1,120","2,353",59,649,983,"1,632",41,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
